Spring 2017,HUM 217H F,Honors: Special Topics in ARTH - Modern Age in the West: Cities Through Art:: Film and Literature,Marie-Pascale PierettiKimberly Rhodes,TR 10:25 AM-11:40 AM ARTS106,Treehouse Course Information,interdisc_breadth,

Spring 2017,LAST 101 J,Societies of Latin America and the Caribbean,Maria Masucci,MW 01:15 PM-02:30 PM BC215,Treehouse Course Information,interdisc_breadth,

Spring 2017,MATH 340 J,Special Topics in Mathematics,Seth Harris,MWF 01:15 PM-02:20 PM BC217,Treehouse Course Information,interdisc_breadth,

Spring 2017,PAST 101 PR,Intro to Pan-African Studies,Ebenezer Addo,MW 07:00 PM-08:15 PM BC101,Treehouse Course Information,interdisc_breadth,

Spring 2017,PAST 306 D,Selected Topics in Pan-African Studies: Black and Brown Power Movements,Elias Ortega-Aponte,TR 09:00 AM-10:15 AM BC118,Treehouse Course Information,interdisc_breadth,

Spring 2017,PAST 306 KZ,Selected Topics in Pan African: Sociology of Education,TBA,T 01:15 PM-03:45 PM,Treehouse Course Information,interdisc_breadth,

Spring 2017,PHIL 334 Z,Aesthetics,Erik Anderson,TR 02:40 PM-03:55 PM ARTS106,Treehouse Course Information,interdisc_breadth,

Spring 2017,PHYS 265 G,Energy and Environment,Bjorg Larson,MWF 11:50 AM-12:55 PM BC103,Treehouse Course Information,interdisc_breadth,

Spring 2017,PSYC 220 J,Biological Psychology,Christopher Medvecky,MWF 01:15 PM-02:20 PM HSCS3A,Treehouse Course Information,interdisc_breadth,

Spring 2017,REL 240H Z,HONORS: Dante: Heaven:: Hell,Louis Hamilton,TR 02:40 PM-03:55 PM BC217,Treehouse Course Information,interdisc_breadth,

Spring 2017,RUSS 250 T,An Introduction to Russian:: Eastern European and Eurasian Cultures,Carol Ueland,MW 02:40 PM-03:55 PM BC20,Treehouse Course Information,interdisc_breadth,

Spring 2017,WGST 101 C,Introduction to Women's and Gender Studies,Wendy Kolmar,MW 09:00 AM-10:15 AM BC120,Treehouse Course Information,interdisc_breadth,

Spring 2017,WGST 101 H,Introduction to Women's and Gender Studies,Mary Kirby-Calder,TR 11:50 AM-01:05 PM BC120,Treehouse Course Information,interdisc_breadth,

Spring 2017,ANTH 103 G,Human Evolution: Biological Anthropology and Archaeology,Linda Van Blerkom,MW 11:50 AM-01:05 PM HSCS244,Treehouse Course Information,natural_sciences,

Spring 2017,BIOL 101 D,Environmental Biology,Caroline Maier,TR 09:00 AM-10:15 AM HSCS308,Treehouse Course Information,natural_sciences,

Spring 2017,BIOL 103 E,Microbes in Health and Disease,Joanna Miller,MWF 10:25 AM-11:40 AM HSCS139,Treehouse Course Information,natural_sciences,
